Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Estonia,EST,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,31.3
Estonia,EST,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,14.1541399565
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3913.12643969301
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1179874
Eswatini,SWZ,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,64.4
Eswatini,SWZ,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,2.5777328765614
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,828.709080522921
Ethiopia,ETH,"Population, total",SP.POP.TOTL,115737383
Ethiopia,ETH,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.3
Ethiopia,ETH,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.42165733953048
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,63067.0695697911
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,51793
Faroe Islands,FRO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,5.4
Faroe Islands,FRO,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.971173710733111
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5950.82866866702
Fiji,FJI,"Population, total",SP.POP.TOTL,914899
Fiji,FJI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,26.5
Fiji,FJI,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.42332869529861
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48358.1807773701
Finland,FIN,"Population, total",SP.POP.TOTL,5521606
Finland,FIN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,45.4
Finland,FIN,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,10.4739273320117
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40408.2848574751
France,FRA,"Population, total",SP.POP.TOTL,67382061
France,FRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,15.5
France,FRA,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.55412870199978
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,21582.5892046801
French Polynesia,PYF,"Population, total",SP.POP.TOTL,279034
French Polynesia,PYF,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,7.7
French Polynesia,PYF,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.27976518990517
